Invoice No.,Category,Item Name,Final Total,Qty.,Time of day
21421,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Evening
C2370,JUICES,CHILLI GUVAVA JUICE,285.71,1,Evening
21422,Hot Chocolate,Hot Chocolate (250 ML),295.71,1,Evening
21422,JUICES,ORANGE JUICE,328.56,1,Evening
21421,Hot Coffee,Double Restritto 44 Ml,361.44,2,Evening
21420,Cold Coffee,Iced Americano (350 ML),202.61,1,Evening
21420,Cold Coffee,Vietnamese (350 ML),334.05,1,Evening
21420,Hot Coffee,Flat White 250 Ml,262.85,1,Evening
21420,Food Menu,Berliners (Dark Choco Mousse Berliner),76.68,1,Evening
21419,Cold Coffee,Classic Frappe (350 ML),301.19,1,Evening
21419,Food Menu,Berliners (Blueberry Cheese Cake Berliner),76.68,1,Evening
21418,Cold Coffee,Iced Mocha (350 ML),312.15,1,Evening
21418,Milk,ALMOND MILK (200 ML),98.56,1,Evening
21417,Hot Coffee,Kaapicino (250 ML),225.01,1,Evening
21416,Food Menu,Berliners (Blueberry Cheese Cake Berliner),76.68,1,Evening
21416,SEASONAL MENU,Rosella Cheesecake Berliner,87.61,1,Evening
21415,Hot Coffee,South Indian Filter Kaapi (150 ML),306.68,2,Evening
21415,Hot Coffee,South Indian Filter Kaapi (250 ML),202.61,1,Evening
